accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.37745097279548645,0.35891813039779663,0.7077096700668335,0.4301075339317322,0.35087719559669495,0.4117647111415863,0.5592307448387146,0.6923621892929077,0.44680851697921753,0.8399999737739563,0.0010000000474974513
0.5392156839370728,0.5699805021286011,0.686820924282074,0.5588235259056091,0.8333333134651184,0.4901960790157318,0.7038460969924927,0.6802147626876831,0.4901960790157318,1.0,0.0010000000474974513
0.5490196347236633,0.6683236360549927,0.6707936525344849,0.5561224222183228,0.9561403393745422,0.4901960790157318,0.6969231367111206,0.6705193519592285,0.4901960790157318,1.0,0.0010000000474974513
0.6274510025978088,0.7251461744308472,0.6615342497825623,0.60326087474823,0.9736841917037964,0.47058823704719543,0.7000000476837158,0.6619617342948914,0.47826087474823,0.8799999952316284,0.0010000000474974513
0.563725471496582,0.6872807741165161,0.6580358147621155,0.5722543597221375,0.8684210777282715,0.47058823704719543,0.6961538791656494,0.6541961431503296,0.47727271914482117,0.8399999737739563,0.0010000000474974513
0.593137264251709,0.7005360126495361,0.6505910158157349,0.5962733030319214,0.8421052694320679,0.6274510025978088,0.6799999475479126,0.6470386981964111,0.59375,0.7599999904632568,0.0010000000474974513
0.6372548937797546,0.7034600377082825,0.6412640810012817,0.6369863152503967,0.8157894611358643,0.6470588445663452,0.6807692050933838,0.6406320929527283,0.6296296119689941,0.6800000071525574,0.0010000000474974513
0.6715686321258545,0.7132553458213806,0.6312655210494995,0.6850393414497375,0.7631579041481018,0.6666666865348816,0.6776922941207886,0.6376655697822571,0.6666666865348816,0.6399999856948853,0.0005000000237487257
0.6372548937797546,0.6948829889297485,0.6342333555221558,0.658730149269104,0.7280701994895935,0.6666666865348816,0.6692307591438293,0.6348938941955566,0.6818181872367859,0.6000000238418579,0.0005000000237487257
0.7156862616539001,0.7391812801361084,0.6271176934242249,0.7413793206214905,0.7543859481811523,0.686274528503418,0.6523076891899109,0.632498025894165,0.7368420958518982,0.5600000023841858,0.0005000000237487257
0.6813725233078003,0.7130117416381836,0.6333720088005066,0.702479362487793,0.7456140518188477,0.7058823704719543,0.6553846001625061,0.6302515864372253,0.7777777910232544,0.5600000023841858,0.0005000000237487257
0.6666666865348816,0.7091618180274963,0.6250640153884888,0.7017543911933899,0.7017543911933899,0.7058823704719543,0.6584615707397461,0.6282683610916138,0.7777777910232544,0.5600000023841858,0.0005000000237487257
